                               Installed Skills                                
┌────────────────────────┬──────────────────────┬─────────┬─────────┬─────────┐
│ Name                   │ Category             │ Source  │ Trust   │ Status  │
├────────────────────────┼──────────────────────┼─────────┼─────────┼─────────┤
│ dogfood                │                      │ builtin │ builtin │ enabled │
│ yuanbao                │                      │ builtin │ builtin │ enabled │
│ claude-code            │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ codex                  │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ hermes-agent           │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ opencode               │ autonomous-ai-agents │ builtin │ builtin │ enabled │
│ architecture-diagram   │ creative             │ builtin │ builtin │ enabled │
│ ascii-art              │ creative             │ builtin │ builtin │ enabled │
│ ascii-video            │ creative             │ builtin │ builtin │ enabled │
│ baoyu-comic            │ creative             │ builtin │ builtin │ enabled │
│ baoyu-infographic      │ creative             │ builtin │ builtin │ enabled │
│ claude-design          │ creative             │ builtin │ builtin │ enabled │
│ comfyui                │ creative             │ builtin │ builtin │ enabled │
│ design-md              │ creative             │ builtin │ builtin │ enabled │
│ excalidraw             │ creative             │ builtin │ builtin │ enabled │
│ humanizer              │ creative             │ builtin │ builtin │ enabled │
│ ideation               │ creative             │ builtin │ builtin │ enabled │
│ manim-video            │ creative             │ builtin │ builtin │ enabled │
│ p5js                   │ creative             │ builtin │ builtin │ enabled │
│ pixel-art              │ creative             │ builtin │ builtin │ enabled │
│ popular-web-designs    │ creative             │ builtin │ builtin │ enabled │
│ pretext                │ creative             │ builtin │ builtin │ enabled │
│ sketch                 │ creative             │ builtin │ builtin │ enabled │
│ songwriting-and-ai-mu… │ creative             │ builtin │ builtin │ enabled │
│ touchdesigner-mcp      │ creative             │ builtin │ builtin │ enabled │
│ jupyter-live-kernel    │ data-science         │ builtin │ builtin │ enabled │
│ whatsapp-crypt15-extr… │ data-science         │ local   │ local   │ enabled │
│ kanban-orchestrator    │ devops               │ builtin │ builtin │ enabled │
│ kanban-worker          │ devops               │ builtin │ builtin │ enabled │
│ webhook-subscriptions  │ devops               │ builtin │ builtin │ enabled │
│ himalaya               │ email                │ builtin │ builtin │ enabled │
│ pokemon-player         │ gaming               │ builtin │ builtin │ enabled │
│ codebase-inspection    │ github               │ builtin │ builtin │ enabled │
│ github-auth            │ github               │ builtin │ builtin │ enabled │
│ github-code-review     │ github               │ builtin │ builtin │ enabled │
│ github-issues          │ github               │ builtin │ builtin │ enabled │
│ github-pr-workflow     │ github               │ builtin │ builtin │ enabled │
│ github-repo-management │ github               │ builtin │ builtin │ enabled │
│ native-mcp             │ mcp                  │ builtin │ builtin │ enabled │
│ gif-search             │ media                │ builtin │ builtin │ enabled │
│ heartmula              │ media                │ builtin │ builtin │ enabled │
│ songsee                │ media                │ builtin │ builtin │ enabled │
│ spotify                │ media                │ builtin │ builtin │ enabled │
│ youtube-content        │ media                │ builtin │ builtin │ enabled │
│ openclaw-to-hermes-mi… │ migration            │ local   │ local   │ enabled │
│ dspy                   │ mlops                │ builtin │ builtin │ enabled │
│ fine-tuning-with-trl   │ mlops                │ builtin │ builtin │ enabled │
│ huggingface-hub        │ mlops                │ builtin │ builtin │ enabled │
│ llama-cpp              │ mlops                │ builtin │ builtin │ enabled │
│ outlines               │ mlops                │ builtin │ builtin │ enabled │
│ segment-anything-model │ mlops                │ builtin │ builtin │ enabled │
│ weights-and-biases     │ mlops                │ builtin │ builtin │ enabled │
│ obsidian               │ note-taking          │ builtin │ builtin │ enabled │
│ airtable               │ productivity         │ builtin │ builtin │ enabled │
│ google-workspace       │ productivity         │ builtin │ builtin │ enabled │
│ linear                 │ productivity         │ builtin │ builtin │ enabled │
│ maps                   │ productivity         │ builtin │ builtin │ enabled │
│ nano-pdf               │ productivity         │ builtin │ builtin │ enabled │
│ notion                 │ productivity         │ builtin │ builtin │ enabled │
│ ocr-and-documents      │ productivity         │ builtin │ builtin │ enabled │
│ powerpoint             │ productivity         │ builtin │ builtin │ enabled │
│ rtl-terminal-output    │ productivity         │ local   │ local   │ enabled │
│ teams-meeting-pipeline │ productivity         │ builtin │ builtin │ enabled │
│ godmode                │ red-teaming          │ builtin │ builtin │ enabled │
│ arxiv                  │ research             │ builtin │ builtin │ enabled │
│ blogwatcher            │ research             │ builtin │ builtin │ enabled │
│ llm-wiki               │ research             │ builtin │ builtin │ enabled │
│ polymarket             │ research             │ builtin │ builtin │ enabled │
│ regulatory-rss-monito… │ research             │ local   │ local   │ enabled │
│ openhue                │ smart-home           │ builtin │ builtin │ enabled │
│ alfred-platform-upgra… │ software-development │ local   │ local   │ enabled │
│ barak-activity-report… │ software-development │ local   │ local   │ enabled │
│ barak-business-integr… │ software-development │ local   │ local   │ enabled │
│ debugging-hermes-tui-… │ software-development │ builtin │ builtin │ enabled │
│ hermes-agent-skill-au… │ software-development │ builtin │ builtin │ enabled │
│ node-inspect-debugger  │ software-development │ builtin │ builtin │ enabled │
│ plan                   │ software-development │ builtin │ builtin │ enabled │
│ requesting-code-review │ software-development │ builtin │ builtin │ enabled │
│ research-before-propo… │ software-development │ local   │ local   │ enabled │
│ spike                  │ software-development │ builtin │ builtin │ enabled │
│ subagent-driven-devel… │ software-development │ builtin │ builtin │ enabled │
│ systematic-debugging   │ software-development │ builtin │ builtin │ enabled │
│ test-driven-developme… │ software-development │ builtin │ builtin │ enabled │
│ writing-plans          │ software-development │ builtin │ builtin │ enabled │
└────────────────────────┴──────────────────────┴─────────┴─────────┴─────────┘
0 hub-installed, 76 builtin, 8 local — 84 enabled, 0 disabled

